My rank: 0 	 0 	 STARTING INDEX
My rank: 0 	 2 	 0
My rank: 0 	 3 	 1
My rank: 0 	 5 	 2
My rank: 0 	 7 	 2
My rank: 0 	 11 	 4
My rank: 0 	 13 	 2
My rank: 0 	 17 	 4
My rank: 0 	 19 	 2
My rank: 0 	 23 	 4
My rank: 0 	 29 	 6
My rank: 0 	 31 	 2
My rank: 0 	 37 	 6
My rank: 0 	 41 	 4
My rank: 0 	 43 	 2
My rank: 0 	 47 	 4
My rank: 0 	 53 	 6
My rank: 0 	 59 	 6
My rank: 0 	 61 	 2
My rank: 0 	 67 	 6
My rank: 0 	 71 	 4
My rank: 0 	 73 	 2
My rank: 0 	 79 	 6
My rank: 0 	 83 	 4
My rank: 0 	 89 	 6
My rank: 0 	 97 	 8
My rank: 0 	 101 	 4
My rank: 0 	 103 	 2
My rank: 0 	 107 	 4
My rank: 0 	 109 	 2
My rank: 0 	 113 	 4
My rank: 0 	 127 	 14
My rank: 0 	 131 	 4
My rank: 0 	 137 	 6
My rank: 0 	 139 	 2
My rank: 0 	 149 	 10
My rank: 0 	 151 	 2
My rank: 0 	 157 	 6
My rank: 0 	 163 	 6
My rank: 0 	 167 	 4
My rank: 0 	 173 	 6
My rank: 0 	 179 	 6
My rank: 0 	 181 	 2
My rank: 0 	 191 	 10
My rank: 0 	 193 	 2
My rank: 0 	 197 	 4
My rank: 0 	 199 	 2
My rank: 0 	 211 	 12
My rank: 0 	 223 	 12
My rank: 0 	 227 	 4
My rank: 0 	 229 	 2
My rank: 0 	 233 	 4
My rank: 0 	 239 	 6
My rank: 0 	 241 	 2
My rank: 0 	 251 	 LAST PRIME
My rank: 0 	 14 	 LARGEST DIFF
FINAL LARGEST DIFF: 20
